0;Orszag;Cimlet;Evjarat;Allapot;Leiras;Ar;Statusz;Elolap;Hatlap
24;Ausztria;100 schilling;1968;extra szép;Több db. elérhető;6900.-Ft;elérhető;024_front.jpg;024_back.jpg
25;Ausztria;500 schilling;1953;szép;Ritka;32.000.-Ft;ELKELT;025_front.jpg;025_back.jpg
26;Málta;5 lira;1967;szép;Ritka;9900.-Ft;elérhető;026_front.jpg;026_back.jpg
27;Svédország;50 korona;2015;UNC;sorszám változhat;3900.-Ft;elérhető;027_front.jpg;027_back.jpg
28;Kína;20 yuan;2025;UNC;Több db. elérhető;2800.-Ft;elérhető;028_front.jpg;028_back.jpg
29;Svédország;100 korona;2004;XF+-aUNC;gyönyörű ropogós;4400.-Ft;elérhető;029_front.jpg;029_back.jpg
30;Svédország;50 korona;2003;aUNC;hajtatlan, gyönyörű ropogós;3500.-Ft;elérhető;030_front.jpg;030_back.jpg
31;Egyiptom;200 font;2019;UNC;utolsó db.;4900.-Ft;elérhető;031_front.jpg;031_back.jpg
32;Burma;25 kyats;1972;UNC;utolsó db.;790.-Ft;elérhető;032_front.jpg;032_back.jpg
33;Ukrajna;20 hrivnya;2018;UNC;Több db. elérhető;600.-Ft;elérhető;033_front.jpg;033_back.jpg
34;Etiópia;200 birr;2020;UNC;utolsó db.;1190.-Ft;ELKELT;034_front.jpg;034_back.jpg
35;Franciaország;10.000 frank;1956;G-VG;szakadás az portrénál RITKA;8900.-Ft;ELKELT;035_front.jpg;035_back.jpg
36;Svédország;100 korona;1958;VF-EF;nagyon szép;10.900.-Ft;elérhető;036_front.jpg;036_back.jpg
37;Svédország;50 korona;1960;VF+;nagyon szép;5000.-Ft;elérhető;037_front.jpg;037_back.jpg
38;Franciaország;1000 frank;1955;VG;Ritka;5900.-Ft;elérhető;038_front.jpg;038_back.jpg
39;Csehszlovákia;100 korona;1945;szép;ritkább;4900.-Ft;elérhető;039_front.jpg;039_back.jpg
40;Spanyolország;500 peseta;1971;szép;felül beszakadás;2500.-Ft;elérhető;040_front.jpg;040_back.jpg
41;Luxemburg;100 frank;1986;VF;nagyon szép;2500.-Ft;elérhető;041_front.jpg;041_back.jpg
42;Mauritius;10 rupia;1967;F;Ritka;7900.-Ft;ELKELT;042_front.jpg;042_back.jpg
43;Francia Egyenlítői-Afrika;50 frank;1947;VG;Ritka;8900.-Ft;ELKELT;043_front.jpg;043_back.jpg
44;Francia Egyenlítői-Afrika;5 frank;1942;VG;Ritka;8900.-Ft;elérhető;044_front.jpg;044_back.jpg
45;Etiópia;100 birr;2023;UNC;Több db. elérhető;1000.-Ft;elérhető;045_front.jpg;045_back.jpg
46;Svédország;10 korona;1968;UNC;Több db. elérhető;3500.-Ft;elérhető;046_front.jpg;046_back.jpg
47;Izland;10 korona;1961;F;szép;1000.-Ft;elérhető;047_front.jpg;047_back.jpg
48;Francia Guyana;523 schilling;1947;VG-F;Ritka;9900.-Ft;ELKELT;048_front.jpg;048_back.jpg
49;Svédország;5 korona;1962;VF;több évszám is;1000.-Ft;elérhető;049_front.jpg;049_back.jpg
50;Svédország;10 korona;1959;VF;Több db. elérhető;1000.-Ft;elérhető;050_front.jpg;050_back.jpg
51;Németország;5 márka;1948;VF;G bélyegzés RITKA;15.900.-Ft;elérhető;051_front.jpg;051_back.jpg
52;Németország;5 márka;1948;F;G bélyegzés RITKA;7000.-Ft;elérhető;052_front.jpg;052_back.jpg
53;Svédország;10 korona;1940;VF;több évszám is;2000.-Ft;elérhető;053_front.jpg;053_back.jpg
54;Olaszország;500 lira;1948;gyenge;RITKA;2900.-Ft;ELKELT;054_front.jpg;054_back.jpg
55;Syria;100 font;1998;F;utolsó db.;1500.-Ft;elérhető;055_front.jpg;055_back.jpg
56;Ausztria;500 schilling;1965;F;Több db. elérhető;4900.-Ft;elérhető;056_front.jpg;056_back.jpg
57;Olaszország;2000 lira;1973;VF;utolsó db.;1500.-Ft;ELKELT;057_front.jpg;057_back.jpg
58;Malaya Brit Borneo;1 dollár;1959;VF;Ritka;8900.-Ft;elérhető;058_front.jpg;058_back.jpg
59;Svédország;10 korona;1916;VF- ;utolsó db.;3990.-Ft;ELKELT;059_front.jpg;059_back.jpg
60;Svédország;5 korona;1916;VF-;utolsó db.;3990.-Ft;ELKELT;060_front.jpg;060_back.jpg
61;Olaszország;5000 lira;1985;VF;nagyon szép;900.-Ft;ELKELT;061_front.jpg;061_back.jpg
62;Törökország;2 ½ lira;1930;gyenge;RITKA;2900.-Ft;elérhető;062_front.jpg;062_back.jpg
63;Spanyolország;100 peseta;1953;VG-F;szép;800.-Ft;elérhető;063_front.jpg;063_back.jpg
64;Tunézia ;10 dinár;1986;F;ritkább;1500.-Ft;elérhető;064_front.jpg;064_back.jpg
65;Hollandia;5 gulden;1966;F+;szép;1500.-Ft;ELKELT;065_front.jpg;065_back.jpg
66;Málta;5 lira;1967;VF;nagyon szép;3800.-Ft;elérhető;066_front.jpg;066_back.jpg
67;Dánia;50 korona;2005;EF;extra szép ropogós;3500.-Ft;elérhető;067_front.jpg;067_back.jpg
68;Dánia;100 korona;2005;VF;nagyon szép;5500.-Ft;elérhető;068_front.jpg;068_back.jpg
69;Svédország;50 korona;2015;VF;nagyon szép;2500.-Ft;ELKELT;069_front.jpg;069_back.jpg
70;Hongkong;50 dollár;1990;F;szép;1900.-Ft;elérhető;070_front.jpg;070_back.jpg
71;Lengyelország;2 złoty;1936;szép;pici beszakadás;1500.-Ft;elérhető;071_front.jpg;071_back.jpg
72;Olaszország;10 lira ;1939;szép;gyenge papír;1000.-Ft;elérhető;072_front.jpg;072_back.jpg
73;Olaszország;100 lira;1951;F-;szép;1000.-Ft;elérhető;073_front.jpg;073_back.jpg
74;Szerbia;500 dinár;1941;F-;szép;900.-Ft;elérhető;074_front.jpg;074_back.jpg
75;Szerbia;100 dinár;1941;F-;szép;900.-Ft;elérhető;075_front.jpg;075_back.jpg
76;Ausztria;20 schilling;1950;VF;nagyon szép;9900.-Ft;ELKELT;076_front.jpg;076_back.jpg
77;Spanyolország;5000 peseta;1979;F-;felül beszakadás;4900.-Ft;elérhető;077_front.jpg;077_back.jpg
78;Spanyolország;2000 peseta;1980;VF-;nagyon szép;3000.-Ft;ELKELT;078_front.jpg;078_back.jpg
79;Ausztria;20 schilling;1945;F-;szép;1000.-Ft;elérhető;079_front.jpg;079_back.jpg
80;Kenya;20 shiling;2004;VF+;nagyon szép;790.-Ft;ELKELT;080_front.jpg;080_back.jpg
81;Jugoszlávia;½ dinár;1919;F;szép;900.-Ft;elérhető;081_front.jpg;081_back.jpg
82;Kolumbia;10000 peso;2002;F+;nagyon szép;1000.-Ft;elérhető;082_front.jpg;082_back.jpg
83;India;10 rupia;1992;VF;tűző lyuk;890.-Ft;elérhető;083_front.jpg;083_back.jpg
84;Bahrain;1 dinár;1973;F;szép;1750.-Ft;elérhető;084_front.jpg;084_back.jpg
85;Görögország;1 drachma;1942;F;szép;2500.-Ft;elérhető;085_front.jpg;085_back.jpg
86;Kuvait;½ dinár;1968-91;F;szép;900.-Ft;elérhető;086_front.jpg;086_back.jpg
87;Szlovénia / Maribor;10 vinarjev;1919;VG+;szép;1000.-Ft;elérhető;087_front.jpg;087_back.jpg
88;Kina;2 jiao;1962;aUNC;gyönyörű ropogós;1900.-Ft;elérhető;088_front.jpg;088_back.jpg
89;Brazília;1000 cruseiros;1964;VG;szép;1900.-Ft;elérhető;089_front.jpg;089_back.jpg
90;Portugália;1000 escudo;1996;F;szép;1400.-Ft;elérhető;090_front.jpg;090_back.jpg
91;Thaiföld;1 bath;1955;EF;nagyon szép;1890.-Ft;elérhető;091_front.jpg;091_back.jpg
92;Magyarország / Pécs;2* (20 50 ) fillér;1919;VG;4 db egyben, színvariációk;2500.-Ft;elérhető;092_front.jpg;092_back.jpg
93;Marokkó;5 dirhams;1970;F-;szép;1000.-Ft;elérhető;093_front.jpg;093_back.jpg
94;USA Military;5 dirhams;1946;F+;szép;1500.-Ft;elérhető;094_front.jpg;094_back.jpg
95;Kina;10 cent;1930;F;szép;1900.-Ft;elérhető;095_front.jpg;095_back.jpg
96;Albánia;100 franga;1940;VF-;nagyon szép, Ritka;9900.-Ft;ELKELT;096_front.jpg;096_back.jpg
97;Magyarország;1 gulden;1866;F-;nagyon szép, oldalt beszakadás;14.000.-Ft;ELKELT;097_front.jpg;097_back.jpg
98;Magyarország;5 gulden;1866;F+;nagyon szép, saroknál kis beszakadás;69.000.-Ft;ELKELT;098_front.jpg;098_back.jpg
99;Lengyelország;20 złoty;1940;VG;szép;700.-Ft;elérhető;099_front.jpg;099_back.jpg
100;Lengyelország;20 márka;1919;F-;szép;1000.-Ft;elérhető;100_front.jpg;100_back.jpg
101;Magyarország OM Bank;1000 korona;1922;UNC;több db, akár sorok;1900.-Ft;elérhető;101_front.jpg;101_back.jpg
102;Olaszország;1000 lira;1990;UNC;több db, akár sorok;650.-Ft;elérhető;102_front.jpg;102_back.jpg
103;Irak;250 dinár;2003;UNC;több db, akár sorok;190.-Ft;elérhető;103_front.jpg;103_back.jpg
104;Spanyolország;1000 peseta;1979;F-;szép;900.-Ft;elérhető;104_front.jpg;104_back.jpg
105;Kenya;20 shiling;1993;VF+;nagyon szép;600.-Ft;ELKELT;105_front.jpg;105_back.jpg
106;Izrael;1 sheqel;1978;F;szép;600.-Ft;elérhető;106_front.jpg;106_back.jpg
107;Németország;10 márka;1906;VG;szép;900.-Ft;elérhető;107_front.jpg;107_back.jpg
108;Ecuador;100 sucres;1990;EF;nagyon szép ropogós;1000.-Ft;elérhető;108_front.jpg;108_back.jpg
109;Kanada;2 dollár;1974;VF+;nagyon szép;1900.-Ft;elérhető;109_front.jpg;109_back.jpg
110;Kelet Karibi Államok;1 dollár;1965;F-;szép;700.-Ft;elérhető;110_front.jpg;110_back.jpg
111;Olaszország;1 lira;1914;VG;szép;900.-Ft;elérhető;111_front.jpg;111_back.jpg
112;Szlovénia / Maribor;20 vinarjev;1919;VG;szép;900.-Ft;elérhető;112_front.jpg;112_back.jpg
113;Oroszország / Ukrajna;bélyegpénzek;1915;F;A 6 db együtt;3900.-Ft;elérhető;113_front.jpg;113_back.jpg
114;Hongkong;20 dollár;1986;VF-;nagyon szép;1000.-Ft;elérhető;114_front.jpg;114_back.jpg
115;Lengyelország;10 złoty;1940;F-;szép;1390.-Ft;elérhető;115_front.jpg;115_back.jpg
116;Horvátország;1000 kuna;1941;VG;beszakadás;790.-Ft;elérhető;116_front.jpg;116_back.jpg
117;Jugoszlávia;1 dinár / 4 krune;1919;F-;szép;900.-Ft;elérhető;117_front.jpg;117_back.jpg
118;Tunézia ;1 font;1996;F;szép;900.-Ft;elérhető;118_front.jpg;118_back.jpg
119;Kanada;1 dollár;1973;VF;nagyon szép;990.-Ft;elérhető;119_front.jpg;119_back.jpg
120;Spanyolország;1000 peseta;1192;VF;nagyon szép;900.-Ft;ELKELT;120_front.jpg;120_back.jpg
121;Albánia;10 leke;1976;UNC;utolsó db.;1000.-Ft;elérhető;121_front.jpg;121_back.jpg
122;Szerbia;500 dinár;1942;UNC;utolsó db.;4900.-Ft;ELKELT;122_front.jpg;122_back.jpg
123;Bahama szigetek;½ dollár;2001;UNC;utolsó db.;2000.-Ft;ELKELT;123_front.jpg;123_back.jpg
124;Magyarország;50 korona;1914;UNC;Több db. elérhető;49.000.-Ft;elérhető;124_front.jpg;124_back.jpg
125;Németország;100 reichsmark;1935;UNC;Több db. elérhető;16.900.-Ft;elérhető;125_front.jpg;125_back.jpg
126;Kanada;1 dollár;1967;UNC;Több db. elérhető;2500.-Ft;elérhető;126_front.jpg;126_back.jpg
127;Németország;2millió márka;1923;UNC;Több db. elérhető;5500.-Ft;elérhető;127_front.jpg;127_back.jpg
128;Olaszország;10.000 lira;1983;UNC;utolsó db.;3500.-Ft;elérhető;128_front.jpg;128_back.jpg
129;Csehszlovákia;500 korona;1973;UNC;Több db. elérhető;18.000.-Ft;elérhető;129_front.jpg;129_back.jpg
130;Csehszlovákia;25 korona;1953;UNC;Több db. elérhető;5900.-Ft;elérhető;130_front.jpg;130_back.jpg
131;Olaszország;5000 lira;1997;UNC;utolsó db.;2500.-Ft;elérhető;131_front.jpg;131_back.jpg
132;NDK;sor;1971;UNC;Több db. elérhető;11.900.-Ft;elérhető;132_front.jpg;132_back.jpg
133;Olaszország;10.000 lira;1976;UNC;utolsó db.;6900.-Ft;elérhető;133_front.jpg;133_back.jpg
134;Norvégia;100 korona;2003;UNC;Több db. elérhető;6900.-Ft;elérhető;134_front.jpg;134_back.jpg
135;Norvégia;50 korona;2005;UNC;Több db. elérhető;5000.-Ft;elérhető;135_front.jpg;135_back.jpg
136;Francia Indokina;1 piaster;1951;UNC;utolsó db.;9900.-Ft;elérhető;136_front.jpg;136_back.jpg
137;Németország;10 márka;1977;UNC;utolsó db.;7500.-Ft;elérhető;137_front.jpg;137_back.jpg
138;Csehszlovákia;100 korona;1931;F;Szép, 2 db van belőle;19.900.-Ft;elérhető;138_front.jpg;138_back.jpg
139;Svájc;10 frank;1990;aUNC;gyönyörű ropogós;6900.-Ft;elérhető;139_front.jpg;139_back.jpg
140;Hollandia;5 gulden;1973;EF+;gyönyörű ropogós;3000.-Ft;ELKELT;140_front.jpg;140_back.jpg
141;Hollandia;10 gulden;1968;EF+;gyönyörű ropogós;4000.-Ft;ELKELT;141_front.jpg;141_back.jpg
142;Németország;50 reichsmark;1933;EF+;gyönyörű ropogós;2000.-Ft;elérhető;142_front.jpg;142_back.jpg
143;Trinidad & Tobago;1dollár;1964;F;Szép, 2 db van belőle;6000.-Ft;elérhető;143_front.jpg;143_back.jpg
144;Kanada;2 dollár;1974;VF;Több db. elérhető;1500.-Ft;elérhető;144_front.jpg;144_back.jpg
145;Kina;10 yuan;1936;VF;utolsó db.;1500.-Ft;ELKELT;145_front.jpg;145_back.jpg
146;Kanada;5 dollár;1979;VF+;utolsó db.;2000.-Ft;ELKELT;146_front.jpg;146_back.jpg
147;Kanada;2 dollár;1986;VF;Több db. elérhető;1500.-Ft;elérhető;147_front.jpg;147_back.jpg
148;Kanada;5 dollár;1986;VF;Több db. elérhető;2000.-Ft;elérhető;148_front.jpg;148_back.jpg
149;Bahama szigetek;1 dollár;1974;F;utolsó db.;2000.-Ft;elérhető;149_front.jpg;149_back.jpg
150;Újzéland;2 dollár;1989;F;utolsó db.;2000.-Ft;elérhető;150_front.jpg;150_back.jpg
151;Fiji szigetek;2 dollár;1988;F+;utolsó db.;1500.-Ft;ELKELT;151_front.jpg;151_back.jpg
152;Kanada;10 dollár;1989;F;utolsó db.;2500.-Ft;elérhető;152_front.jpg;152_back.jpg
153;Kajmán szigetek;1 dollár;1974;F;Több db. elérhető;1500.-Ft;elérhető;153_front.jpg;153_back.jpg
